ts_unix,elapsed_s,phase,guest_total_mib,guest_used_mib,guest_avail_mib,balloon_target_mib,balloon_held_mib,max_mib,host_fp_mib,psi_some,psi_full,host_free_mib
1781285848,0.0,start,32039,30879,1160,3113,29655,32768,2767,0.00,0.00,41389
1781285852,4.1,idle,32039,809,31230,32768,0,32768,1626,0.00,0.00,41769
1781285854,6.1,idle,32039,955,31084,32768,0,32768,1815,0.00,0.00,41700
1781285856,8.1,idle,32039,993,31046,32768,0,32768,1881,0.00,0.00,41637
1781285858,10.2,idle,32039,1060,30979,32768,0,32768,2116,0.00,0.00,41465
1781285860,12.2,idle,32039,1061,30978,32768,0,32768,2143,0.00,0.00,41228
1781285862,14.2,idle,32039,1106,30933,32768,0,32768,2180,0.00,0.00,41109
1781285864,16.3,idle,32039,1097,30942,32768,0,32768,2181,0.00,0.00,41450
1781285866,18.3,idle,32039,1091,30947,32768,0,32768,2181,0.00,0.00,41690
1781285868,20.3,idle,32039,1086,30953,32768,0,32768,2181,0.00,0.00,41478
1781285870,22.4,idle,32039,1077,30961,32768,0,32768,2181,0.00,0.00,41322
1781285872,24.4,idle,32039,1070,30969,32768,0,32768,2181,0.00,0.00,41411
1781285874,26.5,idle,32039,1092,30946,32768,0,32768,2195,0.00,0.00,41071
1781285876,28.5,idle,32039,1092,30946,32768,0,32768,2195,0.00,0.00,40614
1781285878,30.5,idle,32039,1089,30950,32768,0,32768,2195,0.00,0.00,40790
1781285880,32.6,idle,32039,1086,30953,32768,0,32768,2195,0.00,0.00,41792
1781285883,34.6,idle,32039,1083,30956,32768,0,32768,2201,0.00,0.00,41365
1781285885,36.6,idle,32039,1079,30960,32768,0,32768,2201,0.00,0.00,41769
1781285887,38.7,idle,32039,1081,30958,32768,0,32768,2201,0.00,0.00,42008
1781285889,40.7,idle,32039,1079,30960,32768,0,32768,2201,0.00,0.00,41501
1781285891,42.7,idle,32039,1079,30960,32768,0,32768,2201,0.00,0.00,41350
1781285893,44.8,idle,32039,1079,30960,32768,0,32768,2201,0.00,0.00,41254
1781285895,46.8,idle,32039,1083,30956,32768,0,32768,2201,0.00,0.00,41792
1781285897,48.8,idle,32039,28651,3387,3131,29637,32768,2202,0.00,0.00,42015
1781285899,50.9,idle,32039,30732,1307,3131,29637,32768,2202,0.00,0.00,41843
1781285901,52.9,idle,32039,30733,1305,3131,29637,32768,2203,0.00,0.00,40927
1781285903,55.0,idle,32039,30731,1308,3131,29637,32768,2203,0.00,0.00,41713
1781285905,57.0,idle,32039,30729,1309,3131,29637,32768,2204,0.00,0.00,41492
1781285907,59.0,idle,32039,30726,1312,3131,29637,32768,2205,0.00,0.00,41848
1781285909,61.1,idle,32039,30727,1312,3131,29637,32768,2205,0.00,0.00,41838
1781285911,63.1,idle,32039,30727,1312,3131,29637,32768,2206,0.00,0.00,41201
1781285913,65.1,idle,32039,30721,1317,3131,29637,32768,2208,0.00,0.00,41545
1781285915,67.2,hog-single,32039,30912,1127,3131,29637,32768,2394,0.00,0.00,41097
1781285917,69.2,hog-single,32039,30156,1883,7950,24818,32768,6012,0.00,0.00,40053
1781285919,71.2,hog-single,32039,24067,7972,15900,16868,32768,7904,4.89,4.89,39169
1781285921,73.3,hog-single,32039,24070,7969,15900,16868,32768,7914,4.00,4.00,39238
1781285923,75.3,hog-single,32039,24070,7969,15900,16868,32768,7920,3.27,3.27,39292
1781285925,77.3,hog-single,32039,24068,7971,15900,16868,32768,7924,2.68,2.68,39159
1781285927,79.4,hog-single,32039,24069,7970,15900,16868,32768,7928,2.19,2.19,39176
1781285929,81.4,hog-single,32039,24067,7972,15900,16868,32768,7929,1.79,1.79,38919
1781285931,83.5,hog-single,32039,17923,14115,15900,16868,32768,7934,1.47,1.47,39398
1781285933,85.5,hog-single,32039,17919,14120,15900,16868,32768,7935,1.20,1.20,39546
1781285935,87.5,hog-single,32039,17917,14122,15900,16868,32768,7936,0.98,0.98,39248
1781285937,89.6,hog-single,32039,17918,14121,15900,16868,32768,7936,0.80,0.80,38597
1781285940,91.6,hog-single,32039,17918,14121,15900,16868,32768,7936,0.66,0.66,38788
1781285942,93.6,hog-single,32039,17918,14121,15900,16868,32768,7936,0.54,0.54,38716
