ts_unix,elapsed_s,phase,guest_total_mib,guest_used_mib,guest_avail_mib,balloon_target_mib,balloon_held_mib,max_mib,host_fp_mib,psi_some,psi_full,host_free_mib
1781289800,4.0,maxram=4096/idle,3913,478,3435,4096,0,4096,887,0.00,0.00,38605
1781289802,6.1,maxram=4096/idle,3913,579,3334,4096,0,4096,1061,0.00,0.00,38667
1781289804,8.2,maxram=4096/idle,3913,650,3263,4096,0,4096,1136,0.00,0.00,38519
1781289806,10.2,maxram=4096/idle,3913,774,3139,4096,0,4096,1291,0.00,0.00,39362
1781289808,12.2,maxram=4096/idle,3913,818,3094,4096,0,4096,1376,0.00,0.00,38944
1781289810,14.3,maxram=4096/idle,3913,848,3064,4096,0,4096,1421,0.00,0.00,39185
1781289812,16.3,maxram=4096/idle/n=10,3913,909,3004,4096,0,4096,1484,0.00,0.00,38599
1781289815,18.3,maxram=4096/idle/n=10,3913,953,2960,4096,0,4096,1561,0.00,0.00,38589
1781289817,20.4,maxram=4096/idle/n=20,3913,632,3281,4096,0,4096,1579,0.00,0.00,37742
1781289819,22.4,maxram=4096/idle/n=20,3913,942,2971,4096,0,4096,1587,0.00,0.00,38139
1781289821,24.4,maxram=4096/idle/n=20,3913,989,2924,4096,0,4096,1608,0.00,0.00,38504
1781289823,26.5,maxram=4096/idle/n=30,3913,1087,2826,4096,0,4096,1699,0.00,0.00,38451
1781289825,28.7,maxram=4096/idle/n=30,3913,1089,2824,4096,0,4096,1704,0.00,0.00,38369
1781289827,30.8,maxram=4096/idle/n=30,3913,1123,2790,4096,0,4096,1742,0.00,0.00,38518
1781289829,32.8,maxram=4096/idle/n=30,3913,1197,2716,4096,0,4096,1919,0.00,0.00,38110
1781289831,34.9,maxram=4096/idle/n=40,3913,1245,2668,4096,0,4096,1961,0.00,0.00,38630
1781289833,36.9,maxram=4096/idle/n=40,3913,1288,2625,4096,0,4096,2018,0.00,0.00,38700
1781289835,38.9,maxram=4096/idle/n=40,3913,1340,2573,4096,0,4096,2100,0.00,0.00,38576
1781289837,41.0,maxram=4096/idle/n=50,3913,1368,2545,4096,0,4096,2134,0.00,0.00,38494
1781289839,43.0,maxram=4096/idle/n=50,3913,1392,2521,4096,0,4096,2166,0.00,0.00,38786
1781289841,45.0,maxram=4096/idle/n=60,3913,1444,2469,4096,0,4096,2215,0.00,0.00,37657
1781289843,47.1,maxram=4096/idle/n=60,3913,1490,2423,4096,0,4096,2259,0.00,0.00,37965
1781289845,49.1,maxram=4096/idle/n=70,3913,2588,1325,3050,1046,4096,2317,0.00,0.00,38466
1781289847,51.1,maxram=4096/idle/n=70,3913,2635,1278,3050,1046,4096,2366,0.00,0.00,38707
1781289849,53.2,maxram=4096/idle/n=70,3913,2664,1249,3050,1046,4096,2413,0.00,0.00,38695
1781289851,55.2,maxram=4096/idle/n=80,3913,2686,1227,3050,1046,4096,2429,0.00,0.00,38666
1781289854,57.4,maxram=4096/idle/n=80,3913,2680,1233,3050,1046,4096,2430,0.00,0.00,38669
