max_ram_mib,workload,n,running,batch_ms_median,fp_mib,held_mib,guest_avail_mib,psi_some,errors_cum
8192,idle,10,10,460,2398,0,7191,0.00,0
8192,idle,20,20,451,2466,0,7102,0.00,0
8192,idle,30,30,452,2541,0,7047,0.00,0
8192,idle,40,40,450,2627,0,6951,0.00,0
8192,idle,50,50,456,2715,0,6867,0.00,0
8192,idle,60,60,455,2804,5592,1197,0.00,0
8192,idle,70,70,460,2903,5592,1095,0.00,0
8192,idle,80,80,451,3002,5592,1007,0.00,0
8192,idle,90,90,458,3084,5592,909,0.00,0
8192,idle,100,100,485,3188,5592,824,0.00,0
8192,idle,110,110,553,3644,5071,1261,0.00,0
8192,idle,120,120,464,4239,5071,1177,0.00,0
8192,idle,130,130,485,4702,5071,1113,0.00,0
8192,idle,140,140,451,4804,5071,1012,0.00,0
8192,idle,150,150,470,4889,5071,924,0.00,0
8192,idle,160,160,456,4966,5071,862,0.00,0
8192,idle,170,170,468,5095,5071,752,0.00,0
8192,idle,180,180,448,5163,4547,1209,0.00,0
8192,idle,190,190,478,5297,4547,1075,0.00,0
8192,idle,200,200,473,5368,4547,1021,0.00,0
8192,idle,210,210,465,5454,4547,917,0.00,0
8192,idle,220,220,454,5551,4547,885,0.00,0
8192,idle,230,230,458,5605,4547,798,0.00,0
8192,idle,240,240,465,5732,4020,1207,0.00,0
8192,idle,250,250,472,5827,4020,1138,0.00,0
8192,idle,260,260,468,5935,4020,1088,0.00,0
8192,idle,270,270,481,5963,4020,993,0.00,0
8192,idle,280,280,466,6015,4020,900,0.00,0
8192,idle,290,290,480,6087,4020,833,0.00,0
8192,idle,300,300,460,6168,3504,1278,0.00,0
8192,idle,310,310,468,6317,3504,1139,0.00,0
8192,idle,320,320,462,6420,3504,1120,0.00,0
8192,idle,330,330,470,6494,3504,1028,0.00,0
8192,idle,340,340,480,6613,3504,913,0.00,0
8192,idle,350,350,489,6679,3504,823,0.00,0
8192,idle,360,360,480,6725,2985,1249,0.00,0
8192,idle,370,370,475,6838,2985,1170,0.00,0
8192,idle,380,380,557,6939,2985,1099,0.00,0
8192,idle,390,390,556,7017,2985,1027,0.00,0
8192,idle,400,400,533,7109,2985,945,0.00,0
8192,idle,410,410,541,7188,2985,848,0.00,0
8192,idle,420,420,547,7249,2469,1277,0.00,0
8192,idle,430,430,521,7349,2469,1180,0.00,0
8192,idle,440,440,501,7458,2469,1113,0.00,0
8192,idle,450,450,476,7541,2469,1004,0.00,0
8192,idle,460,460,472,7633,2469,929,0.00,0
8192,idle,470,470,467,7727,2469,836,0.00,0
8192,idle,480,480,448,7771,1952,1262,0.00,0
8192,idle,490,490,463,7885,1952,1193,0.00,0
8192,idle,500,500,473,7972,1952,1113,0.00,0
8192,idle,510,510,470,8085,1952,1025,0.00,0
8192,idle,520,520,477,8172,1952,942,0.00,0
8192,idle,530,530,458,8257,1952,845,0.00,0
8192,idle,540,540,482,8301,1952,780,0.00,0
8192,idle,550,550,476,8418,1438,1188,0.00,0
8192,idle,560,560,472,8513,1438,1117,0.00,0
8192,idle,570,570,451,8596,1438,1024,0.00,0
8192,idle,580,580,462,8676,1438,943,0.00,0
8192,idle,590,590,465,8765,1438,868,0.00,0
8192,idle,600,600,470,8821,1438,809,0.00,0
8192,idle,610,610,478,8917,915,1200,0.00,0
8192,idle,620,620,493,9023,915,1147,0.00,0
8192,idle,630,630,459,9133,915,1046,0.00,0
8192,idle,640,640,480,9204,915,964,0.00,0
8192,idle,650,650,474,9307,915,879,0.00,0
8192,idle,660,660,490,9375,915,822,0.00,0
8192,idle,670,670,471,9467,402,1208,0.00,0
8192,idle,680,680,472,9584,402,1122,0.00,0
8192,idle,690,690,475,9679,402,1050,0.00,0
8192,idle,700,700,497,9788,402,959,0.00,0
8192,idle,710,710,496,9869,402,875,0.00,0
8192,idle,720,720,491,9922,402,823,0.00,0
8192,idle,730,730,476,9989,402,691,0.00,0
8192,idle,740,740,486,10076,402,615,0.00,0
8192,idle,750,750,500,10153,402,664,0.00,0
8192,idle,760,760,501,10178,402,577,0.00,0
8192,idle,770,770,480,10179,402,657,0.09,0
8192,idle,780,780,484,10180,402,578,0.05,0
8192,idle,790,790,515,10181,402,633,0.03,0
8192,idle,800,800,492,10183,402,687,0.01,0
8192,idle,810,810,494,10185,402,569,0.30,0
8192,idle,820,820,780,10186,402,620,0.24,0
8192,idle,830,830,570,10185,402,539,0.13,0
8192,idle,840,840,594,10187,402,574,0.22,0
8192,idle,850,850,559,10184,402,625,0.28,0
8192,idle,860,860,564,10184,402,559,0.60,0
8192,idle,870,870,540,10185,402,592,0.32,0
8192,idle,880,880,523,10185,402,508,0.54,0
8192,idle,890,890,502,10186,402,437,0.47,0
8192,idle,900,900,509,10184,402,468,0.74,0
8192,idle,910,910,490,10185,402,527,1.87,0
8192,idle,920,920,508,10184,402,449,1.03,0
8192,idle,930,930,504,10184,402,499,0.56,0
8192,idle,940,940,507,10184,402,414,1.79,0
8192,idle,950,950,496,10194,0,752,1.38,0
8192,idle,960,960,497,10285,0,644,4.82,0
8192,idle,970,970,492,10368,0,563,2.64,0
8192,idle,980,980,515,10439,0,519,1.45,0
8192,idle,990,990,503,10531,0,391,0.79,0
8192,idle,1000,1000,495,10575,0,459,0.43,0
8192,idle,1010,1010,476,10582,0,377,0.16,0
8192,idle,1020,1020,503,10585,0,437,1.53,0
8192,nginx,10,10,461,1455,0,7039,0.00,0
8192,nginx,20,20,450,1623,0,6893,0.00,0
8192,nginx,30,30,460,1859,0,6662,0.00,0
8192,nginx,40,40,466,2079,0,6452,0.00,0
8192,nginx,50,50,470,2304,0,6233,0.00,0
8192,nginx,60,60,453,2510,0,6040,0.00,0
8192,nginx,70,70,454,2726,0,5852,0.00,0
8192,nginx,80,80,453,2956,4574,1054,0.00,0
8192,nginx,90,90,461,3179,4574,835,0.00,0
8192,nginx,100,100,461,3398,4010,1197,0.00,0
8192,nginx,110,110,473,3621,4010,985,0.00,0
8192,nginx,120,120,454,3852,4010,778,0.00,0
8192,nginx,130,130,453,4045,3483,1092,0.00,0
8192,nginx,140,140,463,4276,3483,874,0.00,0
8192,nginx,150,150,466,4494,2949,1189,0.00,0
8192,nginx,160,160,481,5813,2949,1024,0.00,0
8192,nginx,170,170,445,5975,2949,822,0.00,0
8192,nginx,180,180,450,6204,2433,1085,0.00,0
8192,nginx,190,190,474,6456,2433,906,0.00,0
8192,nginx,200,200,462,6598,1906,1221,0.00,0
8192,nginx,210,210,463,6839,1906,991,0.00,0
8192,nginx,220,220,464,7080,1906,814,0.00,0
8192,nginx,230,230,468,7254,1334,1153,0.00,0
8192,nginx,240,240,504,7496,1334,940,0.00,0
8192,nginx,250,250,471,7698,1334,781,0.00,0
8192,nginx,260,260,474,7901,758,1088,0.00,0
8192,nginx,270,270,470,8106,758,916,0.00,0
8192,nginx,280,280,476,8312,758,772,0.00,0
8192,nginx,290,290,479,8512,192,1099,0.00,0
8192,nginx,300,300,471,8753,192,893,0.00,0
8192,nginx,310,310,480,8940,192,660,0.00,0
8192,nginx,320,320,480,9095,192,591,0.00,0
8192,nginx,330,330,565,9145,192,521,2.17,0
8192,nginx,340,340,550,9174,192,496,3.36,0
8192,nginx,350,350,570,9247,0,429,2.11,0
8192,nginx,360,360,564,9344,0,397,1.60,0
8192,nginx,370,370,542,9348,0,368,4.78,0
8192,nginx,380,380,518,9349,0,198,2.62,0
8192,nginx,390,390,545,9349,0,106,15.32,0
16384,idle,10,10,452,2815,14248,859,0.00,0
16384,idle,20,20,466,2892,14248,779,0.00,0
16384,idle,30,30,452,2973,14248,696,0.00,0
16384,idle,40,40,438,3061,14248,606,0.00,0
16384,idle,50,50,468,3146,13725,1058,0.00,0
16384,idle,60,60,453,3229,13725,970,0.00,0
16384,idle,70,70,448,3317,13725,883,0.00,0
16384,idle,80,80,467,3396,13725,828,0.00,0
16384,idle,90,90,446,3481,13725,741,0.00,0
16384,idle,100,100,457,3558,13725,656,0.00,0
16384,idle,110,110,454,3652,13195,1115,0.00,0
16384,idle,120,120,455,3722,13195,1041,0.00,0
16384,idle,130,130,454,3805,13195,961,0.00,0
16384,idle,140,140,450,3908,13195,878,0.00,0
16384,idle,150,150,464,3974,13195,785,0.00,0
16384,idle,160,160,450,4070,13195,701,0.00,0
16384,idle,170,170,452,4158,13195,633,0.00,0
16384,idle,180,180,457,4334,12677,1053,0.00,0
16384,idle,190,190,452,4437,12677,1021,0.00,0
16384,idle,200,200,456,4460,12677,890,0.00,0
16384,idle,210,210,453,4485,12677,807,0.00,0
16384,idle,220,220,446,4582,12677,712,0.00,0
16384,idle,230,230,600,4671,12677,630,0.00,0
16384,idle,240,240,522,4760,12152,1063,0.00,0
16384,idle,250,250,522,4876,12152,972,0.00,0
16384,idle,260,260,535,4982,12152,902,0.00,0
16384,idle,270,270,516,5080,12152,812,0.00,0
16384,idle,280,280,531,5179,12152,738,0.00,0
16384,idle,290,290,536,5235,12152,654,0.00,0
16384,idle,300,300,464,5319,11624,1044,0.00,0
16384,idle,310,310,460,5433,11624,971,0.00,0
16384,idle,320,320,462,5497,11624,938,0.00,0
16384,idle,330,330,453,5606,11624,879,0.00,0
16384,idle,340,340,474,5732,11624,748,0.00,0
16384,idle,350,350,468,5777,11624,684,0.00,0
16384,idle,360,360,453,5804,11101,1090,0.00,0
16384,idle,370,370,460,5949,11101,1023,0.00,0
16384,idle,380,380,451,6045,11101,946,0.00,0
16384,idle,390,390,468,6131,11101,871,0.00,0
16384,idle,400,400,458,6214,11101,781,0.00,0
16384,idle,410,410,462,6303,11101,732,0.00,0
16384,idle,420,420,464,6328,11101,603,0.00,0
16384,idle,430,430,451,6433,10571,1038,0.00,0
16384,idle,440,440,484,6549,10571,950,0.00,0
