ts_unix,elapsed_s,phase,guest_total_mib,guest_used_mib,guest_avail_mib,balloon_target_mib,balloon_held_mib,max_mib,host_fp_mib,psi_some,psi_full,host_free_mib
1781302058,0.0,vz/mem=1024,32039,794,31245,32768,0,32768,3633,0.00,0.00,35161
1781302060,2.1,vz/mem=1024,32039,790,31249,32768,0,32768,4377,0.00,0.00,34319
1781302062,4.1,vz/mem=1024,32039,790,31249,32768,0,32768,5110,0.00,0.00,33845
1781302064,6.1,vz/mem=1024,32039,790,31249,32768,0,32768,5850,0.00,0.00,33428
1781302066,8.1,vz/mem=1024,32039,790,31249,32768,0,32768,6590,0.00,0.00,32832
1781302068,10.2,vz/mem=1024,32039,790,31248,32768,0,32768,7325,0.00,0.00,32290
1781302070,12.2,vz/mem=1024,32039,794,31245,32768,0,32768,8066,0.00,0.00,32165
1781302072,14.2,vz/mem=1024,32039,788,31250,32768,0,32768,8807,0.00,0.00,31430
1781302074,16.3,vz/mem=1024,32039,10568,21471,2835,29933,32768,9555,0.00,0.00,31068
1781302076,18.3,vz/mem=1024,32039,30728,1311,2835,29933,32768,10293,0.00,0.00,30611
1781302078,20.3,vz/mem=1024,32039,30728,1310,2835,29933,32768,11157,0.00,0.00,30430
1781302080,22.4,vz/mem=1024,32039,30723,1316,2835,29933,32768,11910,0.00,0.00,29596
1781302082,24.4,vz/mem=1024,32039,30722,1317,2835,29933,32768,12648,0.00,0.00,29587
1781302084,26.4,vz/mem=1024,32039,30714,1325,2835,29933,32768,13384,0.00,0.00,28354
1781302086,28.4,vz/mem=1024,32039,30714,1325,2835,29933,32768,10990,0.00,0.00,30076
1781302088,30.5,vz/mem=1024,32039,30712,1326,2835,29933,32768,11737,0.00,0.00,29738
1781302090,32.5,vz/mem=1024,32039,30711,1328,2835,29933,32768,12464,0.00,0.00,29658
1781302092,34.5,vz/mem=1024,32039,30710,1328,2835,29933,32768,13075,0.00,0.00,28987
1781302094,36.6,vz/mem=1024,32039,30710,1329,2835,29933,32768,12819,0.00,0.00,28839
1781302096,38.6,vz/mem=1024,32039,30697,1342,2835,29933,32768,13567,0.00,0.00,28257
1781302098,40.8,vz/mem=1024,32039,30697,1342,2835,29933,32768,13376,0.00,0.00,28798
1781302101,43.0,vz/mem=1024,32039,30696,1342,2835,29933,32768,13476,0.00,0.00,28682
1781302103,45.1,vz/mem=1024,32039,30697,1342,2835,29933,32768,13927,0.00,0.00,28996
1781302105,47.1,vz/mem=1024,32039,30696,1342,2835,29933,32768,14618,0.00,0.00,28114
1781302107,49.2,vz/mem=1024,32039,30697,1342,2835,29933,32768,15333,0.00,0.00,28338
1781302109,51.2,vz/mem=1024,32039,30699,1340,2835,29933,32768,15400,0.00,0.00,28130
1781302111,53.2,vz/mem=1024,32039,30699,1340,2835,29933,32768,15719,0.00,0.00,27997
1781302113,55.3,vz/mem=1024,32039,30699,1340,2835,29933,32768,16462,0.00,0.00,27774
1781302115,57.3,vz/mem=1024,32039,30700,1339,2835,29933,32768,16297,0.00,0.00,28223
1781302117,59.3,vz/mem=1024,32039,30700,1339,2835,29933,32768,16300,0.00,0.00,27878
1781302119,61.4,vz/mem=1024,32039,30700,1339,2835,29933,32768,16299,0.00,0.00,28273
1781302121,63.4,vz/mem=1024,32039,30700,1339,2835,29933,32768,16299,0.00,0.00,28341
1781302123,65.4,vz/mem=1024,32039,30700,1339,2835,29933,32768,16205,0.00,0.00,27926
1781302125,67.5,vz/mem=1024,32039,30700,1339,2835,29933,32768,16205,0.00,0.00,28047
1781302127,69.5,vz/mem=1024,32039,30701,1338,2835,29933,32768,16205,0.00,0.00,28388
1781302129,71.5,vz/mem=1024,32039,30701,1338,2835,29933,32768,16157,0.00,0.00,28005
1781302131,73.6,vz/mem=1024,32039,30701,1338,2835,29933,32768,16157,0.00,0.00,28401
1781302133,75.6,vz/mem=1024,32039,30701,1338,2835,29933,32768,16157,0.00,0.00,28467
1781302135,77.6,vz/mem=1024,32039,30701,1337,2835,29933,32768,15856,0.00,0.00,28589
1781302137,79.7,vz/mem=1024,32039,30701,1338,2835,29933,32768,15353,0.00,0.00,28881
1781302139,81.7,vz/mem=1024,32039,30701,1338,2835,29933,32768,14852,0.00,0.00,29139
1781302141,83.7,vz/mem=1024,32039,30701,1338,2835,29933,32768,14353,0.00,0.00,28884
1781302143,85.8,vz/mem=1024,32039,30702,1337,2835,29933,32768,13753,0.00,0.00,28929
1781302145,87.8,vz/mem=1024,32039,30701,1337,2835,29933,32768,13349,0.00,0.00,29850
1781302147,89.8,vz/mem=1024,32039,30701,1337,2835,29933,32768,12843,0.00,0.00,30164
1781302149,91.9,vz/mem=1024,32039,30702,1336,2835,29933,32768,12339,0.00,0.00,30345
1781302151,93.9,vz/mem=1024,32039,30707,1332,2835,29933,32768,11835,0.00,0.00,29498
1781302153,95.9,vz/mem=1024,32039,30707,1332,2835,29933,32768,11330,0.00,0.00,30695
1781302155,98.0,vz/mem=1024,32039,30708,1330,2835,29933,32768,10828,0.00,0.00,31021
1781302157,100.0,vz/mem=1024,32039,30708,1331,2835,29933,32768,10625,0.00,0.00,31239
1781302160,102.1,vz/mem=1024,32039,30706,1333,2835,29933,32768,10524,0.00,0.00,31155
1781302162,104.4,vz/mem=1024,32039,30707,1332,2835,29933,32768,10127,0.00,0.00,31362
1781302164,106.4,vz/mem=1024,32039,30706,1333,2835,29933,32768,9623,0.00,0.00,31095
1781302166,108.5,vz/mem=1024,32039,30706,1333,2835,29933,32768,9118,0.00,0.00,31957
1781302168,110.5,vz/mem=1024,32039,30702,1337,2835,29933,32768,8614,0.00,0.00,31975
1781302170,112.5,vz/mem=1024,32039,30702,1337,2835,29933,32768,8111,0.00,0.00,31542
