ts_unix,elapsed_s,phase,guest_total_mib,guest_used_mib,guest_avail_mib,balloon_target_mib,balloon_held_mib,max_mib,host_fp_mib,psi_some,psi_full,host_free_mib
1781302833,0.0,maxram=4096/idle,32039,30716,1322,2835,29933,32768,3768,0.00,0.00,35486
1781302835,2.1,maxram=4096/idle,3913,161,3752,4096,0,4096,2255,0.00,0.00,35856
1781302837,4.1,maxram=4096/idle,3913,164,3749,4096,0,4096,2256,0.00,0.00,35794
1781302839,6.1,maxram=4096/idle,3913,166,3747,4096,0,4096,2257,0.00,0.00,35834
1781302841,8.2,maxram=4096/idle,3913,175,3738,4096,0,4096,2269,0.00,0.00,35830
1781302843,10.2,maxram=4096/idle,3913,174,3739,4096,0,4096,2269,0.00,0.00,35573
1781302845,12.2,maxram=4096/idle,3913,173,3740,4096,0,4096,2270,0.00,0.00,36208
1781302848,14.3,maxram=4096/idle,3913,173,3740,4096,0,4096,2270,0.00,0.00,35858
1781302850,16.3,maxram=4096/idle,3913,169,3744,4096,0,4096,2271,0.00,0.00,34448
1781302852,18.4,maxram=4096/idle,3913,168,3745,4096,0,4096,2271,0.00,0.00,36031
1781302854,20.4,maxram=4096/idle,3913,165,3748,4096,0,4096,2271,0.00,0.00,36376
1781302856,22.4,maxram=4096/idle,3913,164,3749,4096,0,4096,2271,0.00,0.00,36010
1781302858,24.5,maxram=4096/idle,3913,167,3746,4096,0,4096,2272,0.00,0.00,35974
1781302860,26.5,maxram=4096/idle,3913,166,3747,4096,0,4096,2272,0.00,0.00,36336
1781302862,28.5,maxram=4096/idle,3913,164,3749,4096,0,4096,2272,0.00,0.00,36338
1781302864,30.6,maxram=4096/idle,3913,164,3749,4096,0,4096,2272,0.00,0.00,35809
1781302866,32.6,maxram=4096/idle,3913,162,3751,4096,0,4096,2272,0.00,0.00,36295
1781302868,34.7,maxram=4096/idle,3913,163,3750,4096,0,4096,2272,0.00,0.00,35967
1781302870,36.7,maxram=4096/idle,3913,161,3752,4096,0,4096,2272,0.00,0.00,36308
1781302872,38.7,maxram=4096/idle,3913,161,3752,4096,0,4096,2273,0.00,0.00,35559
1781302874,40.7,maxram=4096/nginx,3913,158,3755,4096,0,4096,2254,0.00,0.00,35718
1781302876,42.8,maxram=4096/nginx,3913,159,3754,4096,0,4096,2254,0.00,0.00,36226
1781302878,44.8,maxram=4096/nginx,3913,161,3752,4096,0,4096,2256,0.00,0.00,36237
1781302880,46.8,maxram=4096/nginx,3913,174,3738,4096,0,4096,2268,0.00,0.00,36297
1781302882,48.9,maxram=4096/nginx,3913,174,3739,4096,0,4096,2268,0.00,0.00,36041
1781302884,50.9,maxram=4096/nginx,3913,172,3741,4096,0,4096,2268,0.00,0.00,36308
1781302886,52.9,maxram=4096/nginx,3913,171,3742,4096,0,4096,2269,0.00,0.00,35955
1781302888,55.0,maxram=4096/nginx,3913,168,3745,4096,0,4096,2269,0.00,0.00,36276
1781302890,57.0,maxram=4096/nginx,3913,166,3747,4096,0,4096,2269,0.00,0.00,36011
1781302892,59.0,maxram=4096/nginx,3913,163,3750,4096,0,4096,2269,0.00,0.00,36195
1781302894,61.1,maxram=4096/nginx,3913,162,3751,4096,0,4096,2269,0.00,0.00,35913
1781302896,63.1,maxram=4096/nginx,3913,161,3752,4096,0,4096,2270,0.00,0.00,36210
