max_ram_mib,workload,n,running,batch_ms_median,fp_mib,held_mib,guest_avail_mib,psi_some,errors_cum
4096,idle,10,10,112,2301,0,3717,0.00,0
4096,idle,20,20,119,2334,0,3686,0.00,0
4096,idle,30,30,128,2354,0,3679,0.00,0
4096,idle,40,40,140,2384,0,3645,0.00,0
4096,idle,50,50,118,2414,0,3617,0.00,0
4096,idle,60,60,121,2447,0,3598,0.00,0
4096,idle,70,70,135,2461,0,3598,0.00,0
4096,idle,80,80,126,2480,0,3559,0.00,0
4096,idle,90,90,137,2511,0,3540,0.00,0
4096,idle,100,100,141,2530,0,3521,0.00,0
4096,idle,110,110,148,2544,0,3511,0.00,0
4096,idle,120,120,140,2554,0,3502,0.00,0
4096,idle,130,130,149,2582,0,3489,0.00,0
4096,idle,140,140,142,2606,0,3471,0.00,0
4096,idle,150,150,160,2618,0,3445,0.00,0
4096,idle,160,160,161,2633,0,3458,0.00,0
4096,idle,170,170,164,2653,0,3415,0.00,0
4096,idle,180,180,158,2673,0,3424,0.00,0
4096,idle,190,190,183,2686,0,3400,0.00,0
4096,idle,200,200,180,2697,0,3388,0.00,0
4096,idle,210,210,173,2704,0,3399,0.00,0
4096,idle,220,220,182,2738,0,3347,0.00,0
4096,idle,230,230,182,2746,0,3365,0.00,0
4096,idle,240,240,184,2760,0,3360,0.00,0
4096,idle,250,250,187,2779,0,3328,0.00,0
4096,idle,260,260,90,2789,1991,2050,0.00,0
4096,idle,270,270,92,2809,1991,1320,0.00,0
4096,idle,280,280,78,2835,1991,1295,0.00,0
4096,idle,290,290,86,2850,1991,1264,0.00,0
4096,idle,300,300,90,2853,1991,1255,0.00,0
4096,idle,310,310,91,2868,1991,1261,0.00,0
4096,idle,320,320,89,2886,1991,1247,0.00,0
4096,idle,330,330,70,2904,1991,1247,0.00,0
4096,idle,340,340,80,2921,1991,1242,0.00,0
4096,idle,350,350,90,2928,1991,1225,0.00,0
4096,idle,360,360,90,2942,1991,1237,0.00,0
4096,idle,370,370,92,2953,1991,1217,0.00,0
4096,idle,380,380,90,2967,1991,1204,0.00,0
4096,idle,390,390,91,2974,1991,1185,0.00,0
4096,idle,400,400,90,2978,1991,1188,0.00,0
4096,idle,410,410,91,3014,1991,1129,0.00,0
4096,idle,420,420,92,3039,1991,1155,0.00,0
4096,idle,430,430,87,3050,1991,1113,0.00,0
4096,idle,440,440,91,3063,1991,1103,0.00,0
4096,idle,450,450,103,3078,1991,1111,0.00,0
4096,idle,460,460,89,3085,1991,1109,0.00,0
4096,idle,470,470,94,3112,1991,1084,0.00,0
4096,idle,480,480,94,3141,1991,1034,0.00,0
4096,idle,490,490,93,3164,1991,1054,0.00,0
4096,idle,500,500,92,3184,1991,1038,0.00,0
4096,nginx,10,10,118,2509,0,3536,0.00,0
4096,nginx,20,20,118,2656,0,3390,0.00,0
4096,nginx,30,30,116,2817,0,3222,0.00,0
4096,nginx,40,40,125,2969,0,3076,0.00,0
4096,nginx,50,50,124,3120,0,2931,0.00,0
4096,nginx,60,60,125,3266,0,2787,0.00,0
4096,nginx,70,70,138,3414,0,2653,0.00,0
4096,nginx,80,80,134,3554,0,2531,0.00,0
4096,nginx,90,90,137,3700,0,2385,0.00,0
4096,nginx,100,100,138,3839,0,2237,0.00,0
4096,nginx,110,110,143,3965,0,2133,0.00,0
4096,nginx,120,120,140,4137,0,1946,0.00,0
4096,nginx,130,130,147,4290,0,1821,0.00,0
4096,nginx,140,140,159,4463,0,1638,0.00,0
4096,nginx,150,150,160,4596,0,1531,0.00,0
4096,nginx,160,160,150,4731,0,1390,0.00,0
4096,nginx,170,170,162,4868,0,1277,0.00,0
4096,nginx,180,180,156,5003,0,1120,0.00,0
4096,nginx,190,190,162,5122,0,1029,0.00,0
4096,nginx,200,200,163,5265,0,879,0.00,0
4096,nginx,210,210,161,5407,0,732,0.00,0
4096,nginx,220,220,185,5529,0,615,0.00,0
4096,nginx,230,230,183,5675,0,484,0.00,0
4096,nginx,240,240,188,5812,0,395,0.00,0
4096,nginx,250,250,184,5928,0,246,0.00,0
4096,nginx,260,260,72,6030,0,153,0.00,0
4096,nginx,270,270,81,6087,0,101,0.00,0
4096,nginx,280,280,102,6088,0,65,6.34,0
4096,hog:256,10,1,72,2335,0,3701,0.00,0
4096,hog:256,20,1,71,2341,0,3694,0.00,0
4096,hog:256,30,1,71,2345,0,3692,0.00,0
4096,hog:256,40,1,69,2356,0,3684,0.00,0
4096,hog:256,50,1,70,2358,0,3688,0.00,0
4096,hog:256,60,1,68,2361,0,3689,0.00,0
4096,hog:256,70,2,65,2364,0,3686,0.00,0
4096,hog:256,80,1,68,2366,0,3684,0.00,0
4096,hog:256,90,1,66,2369,0,3687,0.00,0
4096,hog:256,100,1,70,2373,0,3678,0.00,0
4096,hog:256,110,1,73,2377,0,3675,0.00,0
4096,hog:256,120,1,68,2378,0,3675,0.00,0
4096,hog:256,130,1,68,2380,0,3674,0.00,0
4096,hog:256,140,2,70,2382,0,3670,0.00,0
4096,hog:256,150,1,70,2383,0,3669,0.00,0
4096,hog:256,160,1,70,2388,0,3666,0.00,0
4096,hog:256,170,1,70,2391,0,3661,0.00,0
4096,hog:256,180,1,70,2394,0,3660,0.00,0
4096,hog:256,190,1,69,2399,0,3654,0.00,0
4096,hog:256,200,1,70,2401,0,3652,0.00,0
4096,hog:256,210,1,68,2406,0,3646,0.00,0
4096,hog:256,220,1,68,2410,0,3643,0.00,0
4096,hog:256,230,2,72,2414,0,3644,0.00,0
4096,hog:256,240,1,68,2417,0,3641,0.00,0
4096,hog:256,250,1,69,2421,0,3637,0.00,0
4096,hog:256,260,1,71,2424,0,3633,0.00,0
4096,hog:256,270,1,72,2427,0,3630,0.00,0
4096,hog:256,280,1,69,2430,0,3629,0.00,0
4096,hog:256,290,1,71,2433,0,3625,0.00,0
4096,hog:256,300,1,69,2435,0,3623,0.00,0
4096,hog:256,310,1,68,2438,0,3620,0.00,0
4096,hog:256,320,1,69,2440,0,3617,0.00,0
4096,hog:256,330,1,71,2446,0,3612,0.00,0
4096,hog:256,340,1,69,2448,0,3613,0.00,0
4096,hog:256,350,1,74,2451,0,3608,0.00,0
4096,hog:256,360,1,70,2453,0,3609,0.00,0
4096,hog:256,370,1,72,2455,0,3606,0.00,0
4096,hog:256,380,1,87,2458,0,3605,0.00,0
4096,hog:256,390,1,68,2460,0,3603,0.00,0
4096,hog:256,400,1,68,2463,0,3598,0.00,0
4096,hog:256,410,1,71,2465,0,3596,0.00,0
4096,hog:256,420,1,71,2468,0,3593,0.00,0
4096,hog:256,430,1,71,2471,0,3589,0.00,0
4096,hog:256,440,1,88,2474,0,3587,0.00,0
4096,hog:256,450,1,71,2476,0,3585,0.00,0
4096,hog:256,460,1,71,2479,0,3584,0.00,0
4096,hog:256,470,1,69,2482,0,3581,0.00,0
4096,hog:256,480,1,87,2489,2226,1353,0.00,0
4096,hog:256,490,1,70,2491,2226,1353,0.00,0
4096,hog:256,500,1,68,2493,2226,1353,0.00,0
4096,hog:256,510,1,80,2495,2226,1351,0.00,0
4096,hog:256,520,1,71,2498,2226,1343,0.00,0
4096,hog:256,530,1,74,2504,2226,1337,0.00,0
4096,hog:256,540,1,89,2512,2226,1328,0.00,0
4096,hog:256,550,1,69,2517,2226,1323,0.00,0
4096,hog:256,560,1,72,2522,2226,1320,0.00,0
4096,hog:256,570,1,87,2527,2226,1314,0.00,0
4096,hog:256,580,1,83,2532,2226,1314,0.00,0
4096,hog:256,590,1,92,2536,2226,1309,0.00,0
4096,hog:256,600,1,92,2539,2226,1304,0.00,0
4096,hog:256,610,1,88,2543,2226,1303,0.00,0
4096,hog:256,620,1,89,2545,2226,1300,0.00,0
4096,hog:256,630,1,71,2548,2226,1297,0.00,0
4096,hog:256,640,1,72,2552,2226,1294,0.00,0
4096,hog:256,650,2,96,2557,2226,1289,0.00,0
4096,hog:256,660,1,254,2560,2226,1292,0.00,0
4096,hog:256,670,1,88,2563,2226,1290,0.00,0
4096,hog:256,680,1,74,2567,2226,1284,0.00,0
4096,hog:256,690,1,93,2576,2226,1276,0.00,0
4096,hog:256,700,1,87,2580,2226,1275,0.00,0
4096,hog:256,710,1,91,2583,2226,1267,0.00,0
4096,hog:256,720,1,89,2586,2226,1265,0.00,0
4096,hog:256,730,1,91,2592,2226,1264,0.00,0
4096,hog:256,740,1,69,2594,2226,1254,0.00,0
4096,hog:256,750,1,78,2599,2226,1255,0.00,0
4096,hog:256,760,1,89,2605,2226,1246,0.00,0
4096,hog:256,770,1,87,2607,2226,1251,0.00,0
4096,hog:256,780,1,92,2609,2226,1245,0.00,0
4096,hog:256,790,1,91,2618,2226,1237,0.00,0
4096,hog:256,800,1,94,2621,2226,1231,0.00,0
4096,hog:256,810,1,92,2625,2226,1234,0.00,0
4096,hog:256,820,1,94,2629,2226,1230,0.00,0
4096,hog:256,830,0,114,2636,2226,1225,0.00,0
4096,hog:256,840,1,186,2639,2226,1220,0.00,0
4096,hog:256,850,1,172,2641,2226,1230,0.00,0
4096,hog:256,860,1,160,2643,2226,1226,0.00,0
4096,hog:256,870,0,95,2645,2226,1223,0.00,0
4096,hog:256,880,1,122,2648,2226,1216,0.00,0
4096,hog:256,890,1,120,2651,2226,1213,0.00,0
4096,hog:256,900,1,134,2653,2226,1218,0.00,0
4096,hog:256,910,0,128,2656,2226,1209,0.00,0
4096,hog:256,920,1,139,2661,2226,1207,0.00,0
